,ZIPCODE,Population 25 years and over,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,Score
1,00601,11838,2889,1363,3028,1579,888,1781,310,3.2362730190910622
2,00602,27411,6466,2825,6698,2711,3387,3692,1632,3.4134106745467148
3,00603,34274,6191,3549,9741,4521,2370,5888,2014,3.5558149034253375
4,00606,4516,1416,762,1422,244,241,311,120,2.6778122232063772
5,00610,19164,4089,1841,5569,2057,2241,2498,869,3.390836986015446
6,00612,42432,6221,3616,12531,5810,4242,7561,2451,3.7240526018099547
7,00616,7713,1411,747,2135,1104,691,1328,297,3.5301439128743684
8,00617,16556,3091,1351,5292,1741,1832,2603,646,3.4992147861802367
9,00622,5132,1337,670,1150,490,253,966,266,3.314497272018706
10,00623,29877,5420,3429,7598,3345,2228,6081,1776,3.631890752083543
11,00624,15211,2472,1780,4342,1226,1984,2824,583,3.609690355663664
12,00627,22628,4432,2019,6304,2464,2757,3629,1023,3.5335867067350186
13,00631,1208,329,152,288,163,108,135,33,3.0877483443708607
14,00637,16080,2797,1571,5369,1578,1603,2651,511,3.4736318407960196
15,00638,11641,2726,1202,3672,1190,1110,1399,342,3.1993814964350142
16,00641,19452,3643,1614,5869,3001,1714,2893,718,3.466790047295908
17,00646,25478,2999,2552,7007,3128,2113,5499,2180,3.9428134076458123
18,00647,4119,872,442,1459,283,320,656,87,3.25564457392571
19,00650,9915,1440,717,3664,1501,1283,1092,218,3.4657589510842164
20,00652,2570,448,234,644,459,184,468,133,3.635408560311284
21,00653,7609,1232,1122,2875,535,740,772,333,3.272966224208174
22,00656,13095,2131,1258,3887,1128,1674,2385,632,3.659717449408171
23,00659,28695,6167,2518,6503,2197,4187,5171,1952,3.663530231747691
24,00660,11920,2004,923,3803,1633,895,2061,601,3.5938758389261745
25,00662,28464,5534,2598,8440,3116,2283,4523,1970,3.5433178752107923
26,00664,10010,1724,611,3896,1395,648,1245,491,3.432667332667333
27,00667,16986,4068,2414,4291,1673,1877,1940,723,3.2112916519486636
28,00669,18081,4706,2071,3986,2202,1780,2766,570,3.268624522979924
29,00670,5898,1945,718,1746,319,297,791,82,2.8314682943370637
30,00674,27673,5285,2573,7731,3115,2876,4874,1219,3.550066852166372
31,00676,25295,5549,2653,7715,3043,1575,3575,1185,3.312591421229492
32,00677,10555,2119,1251,2581,922,1217,1913,552,3.5508289909995265
33,00678,18284,3214,1840,5677,2254,1989,2613,697,3.4698643622839644
34,00680,31859,6882,2902,9616,3691,1963,4930,1875,3.415612542766566
35,00682,20400,3141,2064,5291,2447,1012,4254,2191,3.8652450980392157
36,00683,21304,4388,2042,6653,2066,1261,3705,1189,3.452544123169358
