,ZIPCODE,STATE,2011_Score,2012_Score,2013_Score,2014_Score,2015_Score,2016_Score,2017_Score,2018_Score
0,3455,NH,4.2790003,4.396,4.455,4.278,4.3289475,4.3555403,4.4745445,4.4776387
1,3457,NH,5.127,5.1200004,5.2,5.095,5.0680933,5.02407,5.083499,5.0269785
2,3458,NH,5.149,5.193,5.2890005,5.2209997,5.1643386,5.169627,5.2546215,5.0897927
3,3461,NH,4.056,4.029,4.1549997,4.142,4.2242045,4.280539,4.2699065,4.2042494
4,3462,NH,5.07,4.8910003,4.9040003,4.965,4.8444443,4.694687,4.8363123,4.7452164
5,3466,NH,4.344,4.3310003,4.467,4.429,4.4578314,4.6186,4.6581044,4.558757
6,3467,NH,4.345,4.335,4.471,4.5979996,4.700286,4.7526207,4.9125366,4.959542
7,3470,NH,3.649,3.654,3.7189999,3.7340002,3.761021,3.7150934,3.7993393,3.6381216
8,3561,NH,3.8890002,3.9299998,3.9420002,3.8890002,3.9264128,4.050209,4.11131,4.228074
9,3570,NH,3.4710002,3.5169997,3.571,3.5379999,3.556124,3.5869482,3.5866292,3.5942101
10,3574,NH,4.119,4.201,4.313,4.2939997,4.3836446,4.4739637,4.4115524,4.4205
11,3576,NH,3.6490002,3.6219997,3.681,3.9159997,4.006579,3.9720194,3.896048,3.8474264
12,3580,NH,5.051,5.189,5.309,5.2650003,5.060817,5.1792207,5.1028037,5.0522456
13,3581,NH,4.153,4.116,4.1349998,4.1780005,4.202794,4.231381,4.328383,4.293187
14,3584,NH,3.926,3.996,4.07,4.137,4.1686068,4.139881,4.0473285,4.103661
15,3585,NH,3.6720002,3.772,3.829,3.7940004,3.8905034,3.8912072,3.9003053,4.0281267
16,3588,NH,3.891,3.9090002,3.9180002,3.968,4.017843,3.9837265,3.9640167,4.0092826
17,3598,NH,3.8259997,3.782,3.8509998,3.7759998,3.8085365,3.8543851,4.0130506,4.033726
18,3602,NH,4.432,4.3960004,4.446,4.48,4.5153565,4.3823824,4.33249,4.3393426
19,3603,NH,3.5870001,3.6159997,3.6309998,3.7189999,3.6543972,3.7093735,3.6919777,3.7234695
20,3608,NH,4.61,4.533,4.49,4.52,4.649743,4.778427,4.8592987,4.7988353
21,3741,NH,3.946,4.067,4.111,4.129,4.1522794,4.0849867,4.0619164,4.2022743
22,3743,NH,3.6579998,3.6200004,3.659,3.72,3.707735,3.7347193,3.7389796,3.796224
23,3745,NH,4.3989997,4.469,4.507,4.68,4.747619,4.7652764,4.859682,4.76347
24,3748,NH,4.474,4.488,4.5410004,4.665,4.706674,4.6699266,4.747527,4.7562485
25,3750,NH,5.415,5.3550005,5.271,5.4259996,5.3415904,5.871118,6.08055,5.898067
26,3753,NH,5.185,5.18,5.021,5.1330004,5.119982,5.2487826,5.328687,5.4627686
27,3755,NH,6.044,5.972,5.9780006,5.986,6.0318313,6.010985,6.025758,6.0688753
28,3766,NH,4.709,4.7479997,4.7300005,4.8120003,4.881683,4.9302726,5.0194173,5.0912485
29,3768,NH,5.5059996,5.493,5.5269995,5.66,5.6349206,5.614495,5.7453666,5.594309
30,3770,NH,4.8789997,5.185,5.1040006,5.163,5.181818,5.2746916,5.112281,5.280142
31,3773,NH,3.801,3.854,3.9370003,3.908,3.8632257,3.911993,3.9010549,3.8858464
32,3777,NH,4.716,4.684,4.797,4.6759996,4.714825,4.6302853,4.3874345,4.2682266
33,3781,NH,4.845,4.92,4.961,4.9560003,4.8826647,4.9351916,4.795833,4.7965035
34,3782,NH,5.1150002,5.241,5.175,5.2739997,5.086162,5.0491657,4.8590364,4.784881
35,3784,NH,4.937,4.791,4.6829996,4.6280003,4.763414,4.7004375,4.983117,5.1491346
36,3801,NH,4.9069996,4.917,5.03,5.092,5.1684856,5.1663456,5.1793013,5.1437182
37,3809,NH,4.406,4.328,4.4379997,4.471,4.4361744,4.4944143,4.5730104,4.5231867
38,3810,NH,4.277,4.2139997,4.585,4.6320004,4.526817,4.678571,4.8167577,4.700284
39,3811,NH,4.823,4.758,4.742,4.733,4.82606,4.881405,4.982685,5.093926
40,3813,NH,4.031,4.081,4.224,4.429,4.300619,4.265516,4.291646,4.1827273
41,3814,NH,3.686,3.563,3.605,3.698,3.7568195,3.569548,3.5407531,3.5471492
42,3816,NH,4.639,4.862,4.816,4.645,4.5464025,4.4376965,4.4851284,4.475292
43,3818,NH,3.777,3.669,3.7899997,3.86,3.9367898,4.1006947,4.169278,4.1659603
44,3819,NH,4.2609997,4.288,4.324,4.271,4.2717085,4.224329,4.1699758,4.087437
45,3820,NH,4.546,4.55,4.582,4.6540003,4.7207513,4.750615,4.792201,4.8246703
46,3823,NH,5.016,5.11,5.2139997,5.163,5.1570024,5.205805,5.1854362,5.188879
47,3824,NH,5.744,5.733,5.856,5.891,5.9610972,5.9478064,5.9920235,5.916264
48,3825,NH,4.456,4.581,4.639,4.685,4.718233,4.5759974,4.731848,4.6573744
49,3826,NH,4.356,4.385,4.635,4.572,4.635274,4.802353,4.7890716,4.548443
50,3827,NH,4.6549997,4.6850004,4.605,4.5569997,4.5962443,4.5795608,4.6372375,4.6591907
51,3833,NH,4.8240004,4.848,4.873,4.922,4.922135,4.8847647,4.905727,4.9264812
52,3835,NH,3.783,3.8200002,3.8470001,3.8329997,3.8371415,3.8900661,3.8584127,3.9286504
53,3836,NH,4.436,4.32,4.333,4.2349997,4.244422,4.2775025,4.378585,4.470588
54,3837,NH,4.092,4.255,4.345,4.673,4.7005887,4.70471,4.593133,4.537155
55,3838,NH,4.6169996,4.791,5.3059998,5.316,5.480795,4.8471475,4.7732205,4.5135136
56,3839,NH,4.074,4.131,4.0530005,4.087,4.06317,4.025979,4.0793843,4.162466
57,3840,NH,4.7990003,5.009,5.055,5.218,5.3248587,5.352838,5.3631616,5.2757273
58,3841,NH,4.646,4.5889997,4.65,4.607,4.671209,4.773968,4.8857274,4.8973045
59,3842,NH,4.685,4.649,4.7209997,4.8849998,4.9400296,4.9777527,5.0380616,5.0357733
60,3844,NH,5.119,5.013,5.044,5.1410003,5.271649,5.242849,5.3041205,5.241573
61,3845,NH,4.192,4.2650003,4.6379995,4.884,4.7277627,4.974522,4.76848,4.5788145
