ZIPCODE,STATE
1001,MA
1002,MA
1005,MA
1007,MA
1010,MA
1013,MA
1020,MA
1027,MA
1028,MA
1030,MA
1033,MA
1034,MA
1035,MA
1036,MA
1038,MA
1039,MA
1040,MA
1053,MA
1054,MA
1056,MA
1057,MA
1060,MA
1062,MA
1068,MA
1069,MA
1072,MA
1073,MA
1075,MA
1077,MA
1082,MA
1085,MA
1089,MA
1095,MA
1096,MA
1098,MA
1104,MA
1106,MA
1107,MA
1108,MA
1118,MA
1129,MA
1201,MA
1220,MA
1223,MA
1225,MA
1226,MA
1230,MA
1235,MA
1236,MA
1237,MA
1238,MA
1240,MA
1245,MA
1247,MA
1253,MA
1254,MA
1257,MA
1258,MA
1259,MA
1266,MA
1267,MA
1301,MA
1330,MA
1331,MA
1337,MA
1341,MA
1342,MA
1351,MA
1354,MA
1360,MA
1366,MA
1370,MA
1373,MA
1375,MA
1420,MA
1430,MA
1431,MA
1432,MA
1440,MA
1450,MA
1451,MA
1452,MA
1453,MA
1460,MA
1462,MA
1463,MA
1464,MA
1468,MA
1469,MA
1473,MA
1474,MA
1475,MA
1501,MA
1503,MA
1504,MA
1505,MA
1506,MA
1507,MA
1510,MA
1515,MA
1516,MA
1518,MA
1519,MA
1520,MA
1521,MA
1522,MA
1523,MA
1524,MA
1527,MA
1529,MA
1532,MA
1534,MA
1535,MA
1536,MA
1540,MA
1541,MA
1542,MA
1543,MA
1545,MA
1550,MA
1560,MA
1562,MA
1564,MA
1566,MA
1568,MA
1569,MA
1570,MA
1571,MA
1581,MA
1583,MA
1585,MA
1588,MA
1590,MA
1602,MA
1603,MA
1604,MA
1605,MA
1606,MA
1608,MA
1609,MA
1612,MA
1701,MA
1702,MA
1718,MA
1719,MA
1720,MA
1721,MA
1730,MA
1740,MA
1741,MA
1742,MA
1745,MA
1746,MA
1747,MA
1748,MA
1749,MA
1752,MA
1754,MA
1756,MA
1757,MA
1760,MA
1770,MA
1772,MA
1773,MA
1775,MA
1776,MA
1778,MA
1801,MA
1803,MA
1810,MA
1821,MA
1824,MA
1826,MA
1827,MA
1830,MA
1832,MA
1833,MA
1834,MA
1835,MA
1841,MA
1843,MA
1844,MA
1845,MA
1850,MA
1851,MA
1852,MA
1854,MA
1860,MA
1862,MA
1863,MA
1864,MA
1867,MA
1876,MA
1879,MA
1880,MA
1886,MA
1887,MA
1890,MA
1902,MA
1904,MA
1905,MA
1906,MA
1907,MA
1908,MA
1913,MA
1915,MA
1921,MA
1922,MA
1923,MA
1929,MA
1930,MA
1938,MA
1940,MA
1944,MA
1945,MA
1949,MA
1950,MA
1951,MA
1952,MA
1960,MA
1966,MA
1969,MA
1970,MA
1982,MA
1983,MA
1984,MA
1985,MA
2019,MA
2021,MA
2025,MA
2026,MA
2030,MA
2032,MA
2035,MA
2038,MA
2043,MA
2045,MA
2048,MA
2050,MA
2052,MA
2053,MA
