STATE,ZIPCODE,AGI_STUB,N1
AL,0,1,802640
AL,0,2,499070
AL,0,3,268590
AL,0,4,170880
AL,0,5,229870
AL,0,6,62610
AL,35004,1,1500
AL,35004,2,1340
AL,35004,3,920
AL,35004,4,650
AL,35004,5,650
AL,35004,6,70
AL,35005,1,1300
AL,35005,2,990
AL,35005,3,470
AL,35005,4,220
AL,35005,5,190
AL,35005,6,0
AL,35006,1,410
AL,35006,2,330
AL,35006,3,190
AL,35006,4,150
AL,35006,5,130
AL,35006,6,0
AL,35007,1,3940
AL,35007,2,2660
AL,35007,3,1850
AL,35007,4,1340
AL,35007,5,1870
AL,35007,6,270
AL,35010,1,3630
AL,35010,2,2030
AL,35010,3,870
AL,35010,4,520
AL,35010,5,660
AL,35010,6,180
AL,35014,1,620
AL,35014,2,450
AL,35014,3,240
AL,35014,4,140
AL,35014,5,130
AL,35014,6,30
AL,35016,1,2720
AL,35016,2,1790
AL,35016,3,1060
AL,35016,4,700
AL,35016,5,770
AL,35016,6,130
AL,35019,1,350
AL,35019,2,240
AL,35019,3,140
AL,35019,4,70
AL,35019,5,80
AL,35019,6,0
AL,35020,1,5380
AL,35020,2,2490
AL,35020,3,730
AL,35020,4,230
AL,35020,5,160
AL,35020,6,0
AL,35022,1,3360
AL,35022,2,2510
AL,35022,3,1720
AL,35022,4,1040
AL,35022,5,1330
AL,35022,6,240
AL,35023,1,3580
AL,35023,2,2990
AL,35023,3,1590
AL,35023,4,970
AL,35023,5,940
AL,35023,6,90
AL,35031,1,1140
AL,35031,2,830
AL,35031,3,470
AL,35031,4,240
AL,35031,5,210
AL,35031,6,20
AL,35033,1,480
AL,35033,2,350
AL,35033,3,210
AL,35033,4,160
AL,35033,5,150
AL,35033,6,40
AL,35034,1,670
AL,35034,2,350
AL,35034,3,150
AL,35034,4,90
AL,35034,5,100
AL,35034,6,0
AL,35035,1,230
AL,35035,2,140
AL,35035,3,80
AL,35035,4,50
AL,35035,5,60
AL,35035,6,0
AL,35040,1,2430
AL,35040,2,2170
AL,35040,3,1460
AL,35040,4,800
AL,35040,5,810
AL,35040,6,90
AL,35042,1,890
AL,35042,2,550
AL,35042,3,320
AL,35042,4,200
AL,35042,5,210
AL,35042,6,20
AL,35043,1,1330
AL,35043,2,860
AL,35043,3,750
AL,35043,4,740
AL,35043,5,1390
AL,35043,6,300
AL,35044,1,1350
AL,35044,2,840
AL,35044,3,410
AL,35044,4,240
AL,35044,5,230
AL,35044,6,30
AL,35045,1,2240
AL,35045,2,1440
AL,35045,3,790
AL,35045,4,460
AL,35045,5,530
AL,35045,6,80
AL,35046,1,890
AL,35046,2,570
AL,35046,3,330
AL,35046,4,230
AL,35046,5,310
AL,35046,6,50
AL,35049,1,510
AL,35049,2,420
AL,35049,3,270
AL,35049,4,170
AL,35049,5,170
AL,35049,6,0
AL,35051,1,1320
AL,35051,2,770
AL,35051,3,460
AL,35051,4,320
AL,35051,5,470
AL,35051,6,130
AL,35053,1,350
AL,35053,2,250
AL,35053,3,150
AL,35053,4,110
AL,35053,5,170
AL,35053,6,50
AL,35054,1,570
AL,35054,2,380
AL,35054,3,260
AL,35054,4,220
AL,35054,5,290
AL,35054,6,80
AL,35055,1,3050
AL,35055,2,2060
AL,35055,3,1100
AL,35055,4,760
AL,35055,5,830
AL,35055,6,190
AL,35057,1,1930
AL,35057,2,1360
AL,35057,3,730
AL,35057,4,470
AL,35057,5,620
AL,35057,6,150
AL,35058,1,1640
AL,35058,2,1080
AL,35058,3,590
AL,35058,4,420
AL,35058,5,420
AL,35058,6,100
AL,35061,1,300
AL,35061,2,190
AL,35061,3,70
AL,35061,4,30
AL,35061,5,30
AL,35061,6,0
AL,35062,1,1130
AL,35062,2,800
AL,35062,3,530
AL,35062,4,350
AL,35062,5,440
AL,35062,6,50
AL,35063,1,490
AL,35063,2,360
AL,35063,3,180
AL,35063,4,110
AL,35063,5,80
AL,35063,6,0
AL,35064,1,2110
AL,35064,2,1220
AL,35064,3,440
AL,35064,4,190
AL,35064,5,190
AL,35064,6,0
AL,35068,1,1230
AL,35068,2,1130
AL,35068,3,700
AL,35068,4,350
AL,35068,5,330
AL,35068,6,40
AL,35071,1,2140
AL,35071,2,1820
AL,35071,3,1240
AL,35071,4,860
AL,35071,5,1250
AL,35071,6,220
AL,35072,1,780
AL,35072,2,550
AL,35072,3,230
AL,35072,4,130
AL,35072,5,100
AL,35072,6,0
AL,35073,1,410
AL,35073,2,280
AL,35073,3,140
AL,35073,4,70
AL,35073,5,50
AL,35073,6,0
AL,35077,1,2180
AL,35077,2,1480
AL,35077,3,730
AL,35077,4,430
AL,35077,5,380
AL,35077,6,40
AL,35078,1,360
AL,35078,2,240
AL,35078,3,120
AL,35078,4,80
AL,35078,5,70
AL,35078,6,30
AL,35079,1,1140
AL,35079,2,870
AL,35079,3,650
AL,35079,4,470
AL,35079,5,390
AL,35079,6,30
AL,35080,1,2200
AL,35080,2,1460
AL,35080,3,1240
AL,35080,4,1050
AL,35080,5,1880
AL,35080,6,300
AL,35083,1,450
AL,35083,2,350
AL,35083,3,180
AL,35083,4,130
AL,35083,5,100
AL,35083,6,0
AL,35085,1,1360
AL,35085,2,920
AL,35085,3,490
AL,35085,4,300
AL,35085,5,320
AL,35085,6,30
AL,35087,1,390
AL,35087,2,210
AL,35087,3,100
AL,35087,4,70
AL,35087,5,70
AL,35087,6,0
AL,35089,1,380
AL,35089,2,230
AL,35089,3,90
AL,35089,4,30
AL,35089,5,20
AL,35089,6,0
AL,35091,1,310
AL,35091,2,220
AL,35091,3,220
AL,35091,4,190
AL,35091,5,310
AL,35091,6,30
AL,35094,1,2180
AL,35094,2,1560
AL,35094,3,1000
AL,35094,4,630
AL,35094,5,750
AL,35094,6,150
AL,35096,1,1270
AL,35096,2,890
AL,35096,3,540
AL,35096,4,380
AL,35096,5,330
AL,35096,6,60
AL,35097,1,270
AL,35097,2,190
AL,35097,3,140
AL,35097,4,80
AL,35097,5,90
AL,35097,6,0
AL,35098,1,210
AL,35098,2,140
AL,35098,3,70
AL,35098,4,60
AL,35098,5,60
AL,35098,6,0
AL,35111,1,1990
AL,35111,2,1560
AL,35111,3,1240
AL,35111,4,950
AL,35111,5,1270
AL,35111,6,160
AL,35114,1,930
AL,35114,2,620
AL,35114,3,450
AL,35114,4,370
AL,35114,5,650
AL,35114,6,100
AL,35115,1,2230
AL,35115,2,1300
AL,35115,3,700
AL,35115,4,400
AL,35115,5,470
AL,35115,6,80
AL,35116,1,550
AL,35116,2,480
AL,35116,3,310
AL,35116,4,250
AL,35116,5,340
AL,35116,6,50
AL,35117,1,710
AL,35117,2,610
AL,35117,3,470
AL,35117,4,370
AL,35117,5,460
AL,35117,6,70
AL,35118,1,510
AL,35118,2,380
AL,35118,3,210
AL,35118,4,120
AL,35118,5,150
AL,35118,6,0
AL,35120,1,2050
AL,35120,2,1560
AL,35120,3,1080
AL,35120,4,700
AL,35120,5,780
AL,35120,6,80
AL,35121,1,2250
AL,35121,2,1600
AL,35121,3,860
AL,35121,4,530
AL,35121,5,560
AL,35121,6,130
AL,35124,1,3310
AL,35124,2,2540
AL,35124,3,1740
AL,35124,4,1330
AL,35124,5,2190
AL,35124,6,700
AL,35125,1,1760
AL,35125,2,1160
AL,35125,3,640
AL,35125,4,400
AL,35125,5,310
AL,35125,6,40
AL,35126,1,3100
AL,35126,2,2560
AL,35126,3,1610
AL,35126,4,1020
AL,35126,5,1150
AL,35126,6,110
AL,35127,1,1450
AL,35127,2,1280
AL,35127,3,800
AL,35127,4,410
AL,35127,5,470
AL,35127,6,40
AL,35128,1,1440
AL,35128,2,990
AL,35128,3,580
AL,35128,4,440
AL,35128,5,670
AL,35128,6,130
AL,35130,1,480
AL,35130,2,350
AL,35130,3,190
AL,35130,4,120
AL,35130,5,110
AL,35130,6,0
AL,35131,1,600
AL,35131,2,440
AL,35131,3,230
AL,35131,4,130
AL,35131,5,110
AL,35131,6,0
AL,35133,1,560
AL,35133,2,420
AL,35133,3,280
AL,35133,4,180
AL,35133,5,160
AL,35133,6,0
AL,35135,1,270
